PlayerName,CardTypeID,Position,Age,Rating,Team,League,Height,Weight,Attacking,Defending,Finishing,Penalties,Crossing,Passing,Jumping,Heading,WeakFoot,SkillMoves,Country,URL,Gender
E. Caprile,7,GK,23,89,Cagliari,Serie A,191,74,34,64,11,26,18,87,72,18,3,1,Italy,https://sofifa.com/player/255303/elia-caprile/260004/,Male
A. Nemane,7,RB RM RW,27,88,MK Dons,League 2,170,63,81,84,77,75,88,84,73,66,3,4,France,https://sofifa.com/player/223977/aaron-nemane/260004/,Male
A. Ounahi,7,CDM CM CAM,25,88,Girona,La Liga,182,62,80,79,77,65,74,90,77,69,4,3,Morocco,https://sofifa.com/player/255125/azzedine-ounahi/260004/,Male
K. Schade,7,LW LM RW,23,89,Brentford,Premier League,185,74,91,54,92,78,84,81,99,88,5,3,Germany,https://sofifa.com/player/260926/kevin-schade/260004/,Male
Z. Suzuki,16,GK,22,88,Parma,Serie A,190,91,30,70,10,36,22,93,89,36,4,1,United States/Japan,sofifa.com/player/255981/zion-suzuki/260004/,Male
C. Kuver,16,RB LB CB RM LM,22,88,Wolfsburg,Bundesliga,184,65,84,90,60,64,86,87,88,87,4,4,Norway/Germany,sofifa.com/player/264934/camilla-kuver/260006/,Female
A. Cook,16,CB CDM,28,89,Kansas City Current,National Women's Soccer League,172,63,58,93,36,45,44,92,90,91,4,2,England/United States,sofifa.com/player/264011/alana-cook/260006/,Female
L. Wubben-Moy,16,CB RB RM,26,89,Arsenal,WSL,178,67,75,92,41,62,71,85,91,89,4,2,Netherlands/England,sofifa.com/player/263013/lotte-wubben-moy/260006/,Female
T. Motta,17,CDM CM CB,43,91,Icon,Icon,188,82,80,91,77,87,75,91,92,92,5,4,Brazil/Italy,,Male
S. Ouchene,16,LM CM CDM LB CAM,25,89,Montpellier HSC,Division 1 Féminine,158,52,86,84,83,80,84,91,82,70,4,4,Spain/France,sofifa.com/player/265903/sonia-ouchene/260006/,Female
A. Gomes,16,CAM CM CDM LM,24,89,Olympique de Marseille,Ligue 1,166,62,86,86,83,85,79,88,86,75,5,4,Portugal/England,sofifa.com/player/240507/angel-gomes/260004/,Male
S. Appelkamp,16,CAM CM LM RW,24,88,Fortuna Düsseldorf,2. Bundesliga,175,70,86,46,88,75,85,89,60,48,4,4,Japan/Germany,sofifa.com/player/252903/shinta-appelkamp/260004/,Male
M. Valbuena,18,CAM LW RW,41,90,Icon,Icon,165,63,89,58,89,80,94,94,88,60,4,5,Spain/France,,Male
E. Mayenda,16,ST RM LM RW,20,88,Sunderland,Premier League,180,75,89,40,89,82,81,84,92,88,4,4,France/Spain,sofifa.com/player/271248/eliezer-mayenda/260004/,Male
J. Alvarez,16,ST RW CAM,25,90,Atlético Madrid,La Liga,170,71,91,58,92,85,80,85,88,83,5,5,Italy/Argentina,sofifa.com/player/246191/julian-alvarez/260004/,Male
