PlayerName,CardTypeID,Position,Age,Rating,Team,League,Height,Weight,Attacking,Defending,Finishing,Penalties,Crossing,Passing,Jumping,Heading,WeakFoot,SkillMoves,Country,URL,Gender
M. Flekken,10,GK,32,85,Birthday,Birthday,195,87,40,41,23,30,21,89,82,18,4,1,Netherlands,sofifa.com/player/211738/mark-flekken/260004/,Male
Falque,10,RB RM RW LW CAM,35,86,Birthday,Birthday,174,68,86,83,83,83,89,87,83,80,5,5,Spain,N/A,Male
Fosu Mensah,10,CB RB DM,27,84,Birthday,Birthday,186,79,68,85,62,78,81,83,85,85,3,3,Netherlands,N/A,Male
A. Hegazi,10,CB,34,85,Birthday,Birthday,193,96,57,86,40,40,31,60,87,92,2,2,Egypt,sofifa.com/player/210648/ahmed-hegazi/260004/,Male
F. Kadıoğlu,10,RB LB RM,25,86,Birthday,Birthday,174,68,84,85,82,83,88,85,83,82,4,3,Turkey,sofifa.com/player/235152/ferdi-kadioglu/260004/,Male
P. Rosario,10,CDM CM CB,28,85,Birthday,Birthday,188,73,82,87,81,78,80,87,88,85,3,3,Dominican Republic,sofifa.com/player/235134/pablo-rosario/260004/,Male
A. Ekdal,10,CDM CM,35,87,Birthday,Birthday,188,82,83,87,82,89,86,89,82,78,3,3,Sweden,sofifa.com/player/181318/albin-ekdal/260004/,Male
B. Gilmour,10,CM CDM,24,86,Birthday,Birthday,170,66,84,87,81,86,87,88,81,78,3,3,Scotland,sofifa.com/player/245992/billy-gilmour/260004/,Male
Gong,10,RM RW,27,84,Birthday,Birthday,169,72,84,42,84,84,87,85,81,77,3,4,Nigeria,N/A,Male
Miura,10,ST CAM,58,86,Birthday,Birthday,177,72,87,32,88,84,82,86,84,86,4,4,Japan,N/A,Male
A. Sanabria,10,ST,29,84,Birthday,Birthday,180,70,85,42,87,85,73,81,90,86,4,3,Paraguay,sofifa.com/player/219932/antonio-sanabria/260004/,Male
