PlayerName,CardTypeID,Position,Age,Rating,Team,League,Height,Weight,Crossing,Finishing,Heading,Jumping,Penalties,WeakFoot,SkillMoves,Passing,Defending,Attacking,Country,URL,Gender
R. Zentner,9,GK,30,84,1. FSV Mainz 05,,194,96,23,20,24,86,31,3,1,65,68,36,Germany,sofifa.com/player/224251/robin-zentner/260004/,Male
J. Frimpong,9,RB RM RW,24,86,Liverpool,,172,65,87,70,72,83,46,3,3,84,83,78,Netherlands,sofifa.com/player/253149/jeremie-frimpong/260004/,Male
S. Gorden,9,CB,32,84,Angel City FC,,163,58,46,49,84,93,49,3,2,78,86,70,United States,sofifa.com/player/267367/sarah-gorden/260006/,Female
T. Watanabe,9,CB,28,85,Feyenoord,,184,76,35,43,86,95,50,3,2,75,85,65,Japan,sofifa.com/player/246826/tsuyoshi-watanabe/260004/,Male
P. Morroni,9,LB LM,27,86,San Diego Wave FC,,158,53,87,54,84,86,66,3,4,87,85,82,France,sofifa.com/player/256095/perle-morroni/260006/,Female
M. Zaracho,9,CM CAM RM,27,85,Racing Club,,171,65,83,84,70,83,78,4,4,86,75,84,Argentina,sofifa.com/player/235926/matias-zaracho/260004/,Male
Marcos Llorente,9,RB CM RM,30,86,Atlético Madrid,,184,74,83,86,81,89,82,4,3,85,86,84,Spain,sofifa.com/player/226161/marcos-llorente-moreno/260004/,Male
Mauro Júnior,9,LB CM RB LM,26,84,PSV,,171,62,86,80,75,72,81,3,4,86,82,83,Brazil,sofifa.com/player/241509/mauro-jaqueson-j-ferreira-santos/260004/,Male
Adama Traoré,9,RM RW,29,84,Fulham FC,,179,86,85,80,48,88,55,3,4,83,45,80,Spain,sofifa.com/player/213956/adama-traore-diarra/260004/,Male
T. Werner,9,LW ST LM,29,86,RB Leipzig,,180,76,83,87,84,93,86,4,3,81,43,86,Germany,sofifa.com/player/212188/timo-werner/260004/,Male
A. Laurienté,9,LW LM,26,85,Sassuolo,,171,59,83,86,53,72,82,3,4,84,44,85,France,sofifa.com/player/243593/armand-lauriente/260004/,Male
K. Kosugi,9,LB LM,19,83,Djurgårdens IF,,168,66,84,49,53,84,54,2,3,85,84,76,Japan,sofifa.com/player/71672/keita-kosugi/260004/,Male
J. Hato,9,LB CB,19,83,Chelsea,,182,76,73,44,84,95,39,3,2,82,85,68,Netherlands,sofifa.com/player/272978/jorrel-hato/260004/,Male
R. Khadra,9,CAM LM ST CM,23,83,Le Havre AC,,180,72,84,82,77,87,78,3,3,83,59,84,Germany,sofifa.com/player/260558/reda-khadra/260004/,Male
L. Biyendolo,9,ST CAM,32,83,Seattle Reign FC,,172,62,78,84,83,93,80,3,4,78,54,83,United States,sofifa.com/player/236640/lynn-biyendolo/260006/,Female
H. Orzán,9,CDM CM CB,37,83,FBC Melgar,,177,74,77,61,84,90,84,3,3,83,83,78,Argentina,sofifa.com/player/215074/horacio-orzan/260004/,Male
L. Bailey,9,RM RW,27,83,Roma,,178,77,82,84,61,81,75,2,4,82,42,84,Jamaica,sofifa.com/player/229906/leon-bailey/260004/,Male
Juan Carlos,9,GK,37,83,Girona FC,,186,85,41,24,29,83,40,3,1,82,69,41,Spain,sofifa.com/player/194730/juan-carlos-martin-corral/260004/,Male
